,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
410,"Interestingly enough, so So it is something to remember all the time that the coworkers, especially when we remove our PPE on start talking or starting it.",interestingly enough something remember time coworker especially remove ppe start talk start,"[interestingly, enough, something, remember, time, coworker, especially, remove, ppe, start, talk, start]",interestingly enough something remember time coworker especially remove ppe start talk start,"['interestingly', 'enough', 'something', 'remember', 'time', 'coworker', 'especially', 'remove', 'ppe', 'start', 'talk', 'start']",5
411,It's when when you really are at risk.,really risk,"[really, risk]",really risk,['risk'],10
412,Excellent points.,excellent point,"[excellent, point]",excellent point,"['excellent', 'point']",7
414,"Thank you, Leslie.",thank leslie,"[thank, leslie]",thank leslie,['leslie'],1
415,"Thank you, Nestor.",thank nestor,"[thank, nestor]",thank nestor,['nestor'],9
416,"Um, Doctor Sosa.",um doctor sosa,"[um, doctor, sosa]",um doctor sosa,"['doctor', 'sosa']",1
417,"Um, Doctor Tempus wanted to know if you were impressed with the Australian lab study that found COVID-19 virus can remain viable on glass and and money for 28 days.",um doctor tempus want know impressed australian lab study find covid virus remain viable glass money day,"[um, doctor, tempus, want, know, impressed, australian, lab, study, find, covid, virus, remain, viable, glass, money, day]",um doctor tempus want know impressed australian lab study find covid virus remain viable glass money day,"['doctor', 'tempus', 'want', 'impressed', 'australian', 'lab', 'study', 'find', 'covid', 'virus', 'remain', 'viable', 'glass', 'money', 'day']",9
418,Right?,right,[right],right,['right'],9
419,I have to read the paper.,read paper,"[read, paper]",read paper,"['read', 'paper']",11
420,I just saw the headline.,see headline,"[see, headline]",see headline,['headline'],9
421,I saw the headline 28 29 days.,see headline day,"[see, headline, day]",see headline day,"['headline', 'day']",9
422,"You know, they, uh, it's sort of different to the one before that.",know uh sort different one,"[know, uh, sort, different, one]",know uh sort different one,['different'],0
423,The top?,top,[top],top,['top'],3
424,"More more, about several days.",several day,"[several, day]",several day,"['several', 'day']",8
425,"Eso Yeah, it's interesting.",eso yeah interesting,"[eso, yeah, interesting]",eso yeah interesting,"['eso', 'interesting']",5
426,"I have to read and, you know, in order to give give my my opinion, But I think that the practical message is the same.",read know order give give opinion think practical message,"[read, know, order, give, give, opinion, think, practical, message]",read know order give give opinion think practical message,"['read', 'order', 'give', 'give', 'opinion', 'practical', 'message']",11
427,"I mean, you have to assume that it's going to be in a surface, that you have to clean a surface.",mean assume go surface clean surface,"[mean, assume, go, surface, clean, surface]",mean assume go surface clean surface,"['mean', 'assume', 'surface', 'clean', 'surface']",9
428,"If there has been a patient there, wash your hands as much as you can.",patient wash hand much,"[patient, wash, hand, much]",patient wash hand much,"['patient', 'wash', 'hand']",4
429,I think the take home message.,think take home message,"[think, take, home, message]",think take home message,"['take', 'home', 'message']",11
430,"But I'll, I'll be back to for this question next week.",back question next week,"[back, question, next, week]",back question next week,"['back', 'question', 'next', 'week']",6
431,"And I look at the data off the paper specifically, but I think you know it.",look datum paper specifically think know,"[look, datum, paper, specifically, think, know]",look datum paper specifically think know,"['look', 'datum', 'paper', 'specifically']",11
432,It's not going to change our behavior that much.,go change behavior much,"[go, change, behavior, much]",go change behavior much,"['change', 'behavior']",8
433,It's just that we need to be careful with this virus if if if I don't think we need to say that this and say this in this group.,need careful virus think need say say group,"[need, careful, virus, think, need, say, say, group]",need careful virus think need say say group,"['need', 'careful', 'virus', 'need', 'group']",2
434,But I think that that's the take home message. ,think take home message,"[think, take, home, message]",think take home message,"['take', 'home', 'message']",11
435,"Thank you, Nestor, and I'm wondering of Jeanne Boyle is available.",thank nestor wonder jeanne boyle available,"[thank, nestor, wonder, jeanne, boyle, available]",thank nestor wonder jeanne boyle available,"['nestor', 'wonder', 'jeanne', 'boyle', 'available']",9
436,Can Jeanne can re unmute you?,jeanne unmute,"[jeanne, unmute]",jeanne unmute,"['jeanne', 'unmute']",8
437,"Oh, well, if you if you want to be unmuted, please go write a genie.",oh well want unmuted please go write genie,"[oh, well, want, unmuted, please, go, write, genie]",oh well want unmuted please go write genie,"['well', 'want', 'unmuted', 'please', 'write', 'genie']",1
439,"Hi, Joanna.",hi joanna,"[hi, joanna]",hi joanna,"['hi', 'joanna']",7
440,Hi there.,hi,[hi],hi,['hi'],7
441,I think that issue so good to hear you.,think issue good hear,"[think, issue, good, hear]",think issue good hear,"['issue', 'good', 'hear']",8
442,"Um, do you want to mention about nursing facilities using UV light?",um want mention nursing facility use uv light,"[um, want, mention, nursing, facility, use, uv, light]",um want mention nursing facility use uv light,"['want', 'mention', 'nursing', 'facility', 'use', 'uv', 'light']",11
444,"Um, I'm currently in Houston, working with Harris County, which, you know, has had a tremendous problem with trying to contain the COVID-19 spread in our very large metropolitan area.",um currently houston work harris county know tremendous problem try contain covid spread large metropolitan area,"[um, currently, houston, work, harris, county, know, tremendous, problem, try, contain, covid, spread, large, metropolitan, area]",um currently houston work harris county know tremendous problem try contain covid spread large metropolitan area,"['currently', 'houston', 'work', 'harris', 'county', 'tremendous', 'problem', 'try', 'contain', 'covid', 'spread', 'large', 'metropolitan', 'area']",9
445,"And so I go on behalf of the county into nursing facilities, detention centers, homeless centers and group homes to mitigate outbreaks.",go behalf county nursing facility detention center homeless center group home mitigate outbreak,"[go, behalf, county, nursing, facility, detention, center, homeless, center, group, home, mitigate, outbreak]",go behalf county nursing facility detention center homeless center group home mitigate outbreak,"['behalf', 'county', 'nursing', 'facility', 'detention', 'center', 'homeless', 'center', 'group', 'home', 'mitigate', 'outbreak']",2
446,"And several of the very well functioning low infection of nursing facilities have been using, um, a room UV light of some sort when they do terminal cleaning.",several well function low infection nursing facility use um room uv light sort terminal cleaning,"[several, well, function, low, infection, nursing, facility, use, um, room, uv, light, sort, terminal, cleaning]",several well function low infection nursing facility use um room uv light sort terminal cleaning,"['several', 'well', 'function', 'low', 'infection', 'nursing', 'facility', 'use', 'room', 'uv', 'light', 'terminal', 'cleaning']",8
447,"So when somebody moves from one part of the facility to another, they vacate their room and as part of the terminal cleaning at the end of it.",somebody move one part facility another vacate room part terminal cleaning end,"[somebody, move, one, part, facility, another, vacate, room, part, terminal, cleaning, end]",somebody move one part facility another vacate room part terminal cleaning end,"['somebody', 'move', 'part', 'facility', 'another', 'vacate', 'room', 'part', 'terminal', 'cleaning', 'end']",11
